admin,confirm,rate
Brazil,101147.00 ,5608.43 
Canada,60603.00 ,1795.71 
Mexico,23471.00 ,1256.29 
Ecuador,29538.00 ,974.14 
Chile,19663.00 ,904.57 
Argentina,4783.00 ,127.29 
Paraguay,396.00 ,24.00 
Peru,45928.00 ,2461.29 
Colombia,7668.00 ,327.00 
Costa Rica,739.00 ,6.29 
Panama,7197.00 ,202.57 
Honduras,1010.00 ,49.86 
Jamaica,469.00 ,17.00 
Bolivia,1594.00 ,92.00 
Guyana,82.00 ,1.14 
Cuba,1649.00 ,40.00 
Trinidad and Tobago,116.00 ,0.00 
Saint Vincent and the Grenadines,16.00 ,0.29 
Uruguay,655.00 ,7.00 
Venezuela,357.00 ,4.57 
Suriname,10.00 ,0.00 
Guatemala,703.00 ,29.00 
Bahamas,83.00 ,0.43 
Antigua and Barbuda,25.00 ,0.14 
Saint Lucia,18.00 ,0.43 
Barbados,81.00 ,0.29 
El Salvador,490.00 ,23.86 
Nicaragua,14.00 ,0.14 
Dominica,7954.00 ,259.86 
Haiti,85.00 ,1.57 
Aruba,,0.00 
Greenland,11.00 ,0.00 
Bermuda,,0.00 
Belize,18.00 ,0.00 
Grenada,21.00 ,0.43 
Puerto Rico,,0.00 
Cayman Islands,,0.00 
"Virgin Islands, U.S.",,0.00 
Turks and Caicos Islands,,0.00 
Dominica,16.00 ,0.00 
Saint Vincent and the Grenadines,15.00 ,0.00 
Australia,6801.00 ,12.86 
New Zealand,1487.00 ,3.29 
Fiji,18.00 ,0.00 
Cook Islands,,0.00 
Papua New Guinea,8.00 ,0.00 
Pitcairn Islands,,0.00 
Norfolk Island,,0.00 
Heard Island and Mcdonald Islands,,0.00 
Vanuatu,,0.00 
American Samoa,,0.00 
Cocos (Keeling) Islands,,0.00 
Micronesia,,0.00 
Christmas Island,,0.00 
Guam,,0.00 
Kiribati,,0.00 
Marshall Islands,,0.00 
New Caledonia,,0.00 
Nauru,,0.00 
Niue,,0.00 
French Polynesia,,0.00 
Palau,,0.00 
Solomon Islands,,0.00 
托克劳,,0.00 
Tonga,,0.00 
Tuvalu,,0.00 
Wallis and Futuna,,0.00 
Samoa,,0.00 
Israel,16725.00 ,112.86 
S. Sudan,45.00 ,0.00 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
