admin,confirm,rate,,,,,,,,,,,
Sudan,1164 ,95 ,,,,,,,,,,,
Mauritania,8 ,0 ,,,,,,,,,,,
Guinea,2042 ,55 ,,,,,,,,,,,
Central African Republic,143 ,12 ,,,,,,,,,,,
Equatorial Guinea,439 ,21 ,,,,,,,,,,,
Republic of the Congo,274 ,8 ,,,,,,,,,,,
Ethiopia,210 ,13 ,,,,,,,,,,,
Rwanda,280 ,4 ,,,,,,,,,,,
Seychelles,11 ,0 ,,,,,,,,,,,
Namibia,16 ,0 ,,,,,,,,,,,
Swaziland,163 ,9 ,,,,,,,,,,,
Liberia,199 ,7 ,,,,,,,,,,,
Somalia,997 ,46 ,,,,,,,,,,,
United Republic of Tanzania,509 ,5 ,,,,,,,,,,,
Benin,319 ,37 ,,,,,,,,,,,
Gambia,20 ,1 ,,,,,,,,,,,
Djibouti,1189 ,13 ,,,,,,,,,,,
Zambia,252 ,21 ,,,,,,,,,,,
Mauritius,332 ,0 ,,,,,,,,,,,
Niger,815 ,11 ,,,,,,,,,,,
Cape Verde,236 ,12 ,,,,,,,,,,,
Chad,322 ,34 ,,,,,,,,,,,
Libya,64 ,0 ,,,,,,,,,,,
Mali,692 ,22 ,,,,,,,,,,,
Guinea Bissau,641 ,64 ,,,,,,,,,,,
Sierra Leone,291 ,21 ,,,,,,,,,,,
Sao Tome and Principe,212 ,32 ,,,,,,,,,,,
Eritrea,39 ,0 ,,,,,,,,,,,
Uganda,116 ,5 ,,,,,,,,,,,
Burundi,19 ,0 ,,,,,,,,,,,
Angola,43 ,1 ,,,,,,,,,,,
Malawi,56 ,3 ,,,,,,,,,,,
Mozambique,87 ,1 ,,,,,,,,,,,
Zimbabwe,36 ,0 ,,,,,,,,,,,
Madagascar,193 ,7 ,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,
Botswana,23 ,0 ,,,,,,,,,,,
Mayotte,11 ,1 ,,,,,,,,,,,
United States of America,1347318 ,26483 ,,,,,,,,,,,
Brazil,155939 ,9132 ,,,,,,,,,,,
Canada,68918 ,1402 ,,,,,,,,,,,
Mexico,33460 ,1665 ,,,,,,,,,,,
Ecuador,29071 ,(78),,,,,,,,,,,
Chile,27219 ,1259 ,,,,,,,,,,,
Argentina,5776 ,166 ,,,,,,,,,,,
Paraguay,689 ,49 ,,,,,,,,,,,
Peru,67307 ,3323 ,,,,,,,,,,,
Colombia,10495 ,471 ,,,,,,,,,,,
Costa Rica,780 ,7 ,,,,,,,,,,,
Panama,8282 ,181 ,,,,,,,,,,,
Honduras,1830 ,129 ,,,,,,,,,,,
Jamaica,498 ,5 ,,,,,,,,,,,
Bolivia,2437 ,141 ,,,,,,,,,,,
Guyana,97 ,3 ,,,,,,,,,,,
Cuba,1754 ,18 ,,,,,,,,,,,
Trinidad and Tobago,116 ,0 ,,,,,,,,,,,
Saint Vincent and the Grenadines,17 ,0 ,,,,,,,,,,,
Uruguay,702 ,8 ,,,,,,,,,,,
Venezuela,402 ,8 ,,,,,,,,,,,
Suriname,10 ,0 ,,,,,,,,,,,
Guatemala,967 ,44 ,,,,,,,,,,,
Bahamas,92 ,2 ,,,,,,,,,,,
Antigua and Barbuda,24 ,0 ,,,,,,,,,,,
Saint Lucia,18 ,0 ,,,,,,,,,,,
Barbados,84 ,0 ,,,,,,,,,,,
El Salvador,889 ,56 ,,,,,,,,,,,
Nicaragua,16 ,0 ,,,,,,,,,,,
Dominica,9882 ,321 ,,,,,,,,,,,
Haiti,151 ,11 ,,,,,,,,,,,
Aruba,,,,,,,,,,,,,
Greenland,11 ,0 ,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,
Belize,18 ,0 ,,,,,,,,,,,
Grenada,21 ,0 ,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,
"Virgin Islands, U.S.",,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,
Dominica,16 ,0 ,,,,,,,,,,,
Saint Vincent and the Grenadines,15 ,0 ,,,,,,,,,,,
Australia,6929 ,21 ,,,,,,,,,,,
New Zealand,1492 ,1 ,,,,,,,,,,,
Fiji,18 ,0 ,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,
Papua New Guinea,8 ,0 ,,,,,,,,,,,
Pitcairn Islands,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,
Heard Island and Mcdonald Islands,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,
Cocos (Keeling) Islands,,,,,,,,,,,,,
Micronesia,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,
Palau,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,
托克劳,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,
Wallis and Futuna,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,
Israel,16998 ,46 ,,,,,,,,,,,
S. Sudan,120 ,10 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
