admin,confirm,rate
Guinea Bissau,53,0.028183723
Sierra Leone,93,0.326352403
Sao Tome and Principe,7,0
Eritrea,39,0.036729654
Uganda,79,0
Burundi,11,0
Angola,26,0.08098387
Malawi,34,0.020413775
Mozambique,76,0.079528977
Zimbabwe,31,0.013700333
Madagascar,124,0.029170819
Lesotho,,
Botswana,22,0.100642416
Mayotte,,
United States of America,987160,0.041282574
Brazil,63100,0.083065242
Canada,48029,0.04782729
Mexico,14677,0.094711406
Ecuador,22719,0.048030964
Chile,13331,0.046306747
Argentina,3892,0.0328775
Paraguay,228,0.014853653
Peru,27517,0.05028674
Colombia,5379,0.054599452
Costa Rica,695,0.009259786
Panama,5779,0.0361137
Honduras,627,0.022131038
Jamaica,305,0.065540648
Bolivia,950,0.066453811
Guyana,74,0.044751092
Cuba,1369,0.062863993
Trinidad and Tobago,115,0
Saint Vincent and the Grenadines,14,0
Uruguay,606,0.021282953
Venezuela,325,0.078623636
Suriname,10,0
Guatemala,500,0.105336954
Bahamas,80,0.035744169
Antigua and Barbuda,24,0
Saint Lucia,15,0
Barbados,79,0
El Salvador,298,0.043296131
Nicaragua,13,0
Dominica,6135,0.07616444
Haiti,74,0.030093075
Aruba,,
Greenland,11,0
Bermuda,,
Belize,18,0
Grenada,18,0
Puerto Rico,,
Cayman Islands,,
"Virgin Islands, U.S.",,
Turks and Caicos Islands,,
Dominica,16,0
Saint Vincent and the Grenadines,15,0
Australia,6711,0.006491697
New Zealand,1464,0.007087409
Fiji,18,0
Cook Islands,,
Papua New Guinea,8,0
Pitcairn Islands,,
Norfolk Island,,
Heard Island and Mcdonald Islands,,
Vanuatu,,
American Samoa,,
Cocos (Keeling) Islands,,
Micronesia,,
Christmas Island,,
Guam,,
Kiribati,,
Marshall Islands,,
New Caledonia,,
Nauru,,
Niue,,
French Polynesia,,
Palau,,
Solomon Islands,,
托克劳,,
Tonga,,
Tuvalu,,
Wallis and Futuna,,
Samoa,,
Israel,15935,0.019863328
S. Sudan,6,0
